ID,PopularFoodDislike,DressColor,Floaters,Animal,ChocolateOrVanilla,RightLeftHanded,RotaryPhone,Activities,ThermostatTemperature,NumberFrom1to100,MovieStar,CanRollTongue,CellPhoneType,TasteDislike,FavoriteNumberFrom1to5,FollowSport,FavoriteTeam,TriedFood,GrossedOutByFoodAnswer,ThrowingOutSocks,FavouriteCandy,Activity_Basketball,Activity_IceSkate,Activity_Ski,Activity_Stilts,Activity_HorseRiding,Activity_StickShift,Activity_Rubiks,Activity_Juggle,Activity_Unicycle,Dislike_CarbonatedDrinks,Dislike_Eggs,Dislike_Cilantro,Dislike_ChocolateIceCream,Dislike_Coffee,Dislike_Tomatoes,Dislike_Yogurt,Follow_Football,Follow_Basketball,Follow_Cricket,Follow_Soccer,Follow_Baseball,Tried_Snails,Tried_FrogLegs,Tried_Natto,Tried_Aligator,Tried_ThousandYearOldEgg,Tried_Durian
1796,Soda,White and gold,"Yes, occasionally",Cat,Chocolate,Right-handed,Not 100% sure,Walk on stilts,Warmer,92,Angelina Jolie,No,iPhone,Carbonated drinks,2,None,,None,"Yes, most of them",No,Twix,,,,0,,,,,,0,,,,,,,,,,,,,,,,,
2769,Sushi,I don't remember,No,Kangaroo ,Vanilla,Right-handed,"Yes, I believe so","Solve a Rubik's cube, Ice skate",Cooler,7,Tom Holland,Yes,iPhone,"Chocolate Ice-cream, Carbonated drinks, Coffee",3,None,,None,"Yes, most of them",No,Snicker,,0,,,,,0,,,0,,,0,0,,,,,,,,,,,,,
2453,twix,I don't remember,No,raccoon,Chocolate,Right-handed,"Yes, I believe so","Ride a horse, Solve a Rubik's cube, Ice skate, Ski",Warmer,69,Chris Pratt,No,Android,None,4,None,,"Durian, Thousand-year-old eggs","Yes, most of them",No,Peanuts M&Ms,,0,0,,0,,0,,,,,,,,,,,,,,,,,,,0,0
5570,Sushi,Blue and black,"Yes, occasionally",Cat,Chocolate,Right-handed,Not 100% sure,Drive a stick shift,Cooler,20,Hugh Jackman,No,iPhone,"Carbonated drinks, Cilantro",2,Cricket,,None,"Yes, most of them",No,Chocolate M&Ms,,,,,,0,,,,0,,0,,,,,,,1,,,,,,,,
1749,Meat burgers,Blue and black,"Yes, occasionally",immortal jellyfish,Chocolate,Right-handed,"Yes, I believe so","Solve a Rubik's cube, Juggle",Warmer,42,Emma Watson,Yes,Android,None,5,None,,None,"Yes, most of them",No,Alfajores,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
8852,Hamburgers,Blue and black,No,Cheetah,Chocolate,Right-handed,Not 100% sure,"Ice skate, Ski",Warmer,38,Dwayne Johnson,No,Android,"Eggs, Cilantro, Coffee",4,"Basketball, Baseball",,None,"Yes, most of them",No,Chocolate M&Ms,,0,0,,,,,,,,0,0,,0,,,,1,,,1,,,,,,
6684,Steak,Blue and black,"Yes, occasionally",Lion,Vanilla,Right-handed,"Yes, I believe so","Ice skate, Walk on stilts",Warmer,88,Chris Hemsworth,Yes,iPhone,"Carbonated drinks, Tomatoes, Yogurt",2,"American Football, Soccer, Basketball, Cricket",Green Bay Packers,None,"Yes, most of them",No,Reese PB Cup,,0,,0,,,,,,0,,,,,0,0,1,1,1,1,,,,,,,
9011,Fish,Blue and black,I'm not sure what things you mean,Kangaroo,Vanilla,Ambidextrous,Not 100% sure,"Ride a horse, Ice skate, Ski",Warmer,52,Jackie Chan,Yes,iPhone,"Eggs, Yogurt",3,None,Red Bull Racing,None,"Yes, one or two","I did the throwing out thing, but didn't talk to everyone about it",Twix,,0,0,,0,,,,,,0,,,,,0,,,,,,,,,,,
8557,raviolli,White and gold,"Yes, constantly",frog,Vanilla,Right-handed,"Yes, I believe so","Dunk a basketball, Ride a horse, Drive a stick shift, Juggle",Cooler,4,Hugh jackman,Yes,iPhone,"Eggs, Coffee",3,"American Football, Soccer, Basketball",real madrid,Aligator,"Yes, one or two",Yes,Snicker,0,,,,0,0,,0,,,0,,,0,,,1,1,,1,,,,,0,,
4442,Pizza,What dress?,"Yes, occasionally",Rabbit,Vanilla,Right-handed,Not 100% sure,"Solve a Rubik's cube, Juggle, Unicycle",Warmer,29,,No,iPhone,"Eggs, Cilantro",3,"Basketball, Cricket",,None,No,"No, but I'm totally doing that now",Snicker,,,,,,,0,0,0,,0,0,,,,,,1,1,,,,,,,,
6136,Cheese,Blue and black,"Yes, occasionally",Bear,Chocolate,Right-handed,Not 100% sure,"Ice skate, Ski, Juggle",Warmer,77,Brad Pitt,Yes,iPhone,Cilantro,5,None,,"Snails, Frog legs, Durian, Thousand-year-old eggs",No,No,Twix,,0,0,,,,,0,,,,0,,,,,,,,,,0,0,,,0,0
4260,Eggs,Blue and black,I'm not sure what things you mean,capybara,Vanilla,Right-handed,"Yes, I believe so","Dunk a basketball, Ride a horse",Cooler,15,Chris Pratt,Yes,iPhone,"Eggs, Coffee",4,None,,None,No,No,Twix,0,,,,0,,,,,,0,,,0,,,,,,,,,,,,,
3595,pickles,Blue and black,I'm not sure what things you mean,capybara,Chocolate,Left-handed,"Yes, and I have","Ice skate, Juggle",Cooler,3,saoirse ronan,What?,iPhone,"Cilantro, Coffee, Yogurt",3,Soccer,,None,No,No,Alfajores,,0,,,,,,0,,,,0,,0,,0,,,,1,,,,,,,
3563,Buffalo wings,I don't remember,"Yes, constantly",Panda,Vanilla,Right-handed,"Yes, I believe so",Ice skate,Cooler,69,Brad Pitt,Yes,iPhone,"Cilantro, Tomatoes",3,"American Football, Soccer, Basketball, Baseball",Philadelphia Eagles ,"Snails, Durian, Thousand-year-old eggs",No,"I did the throwing out thing, but didn't talk to everyone about it",Twix,,0,,,,,,,,,,0,,,0,,1,1,,1,1,0,,,,0,0
5907,Salad,I don't remember,"Yes, occasionally",Bear,Chocolate,Right-handed,"Yes, I believe so","Ride a horse, Solve a Rubik's cube, Ski",Warmer,87,Ryan Reynolds,No,iPhone,"Cilantro, Tomatoes",5,None,,None,"Yes, one or two",No,Twix,,,0,,0,,0,,,,,0,,,0,,,,,,,,,,,,
1443,steak,White and gold,I'm not sure what things you mean,dog,Chocolate,Left-handed,"Yes, I believe so","Dunk a basketball, Ride a horse, Ice skate, Ski",Cooler,12,Ryan Reynolds,Yes,iPhone,Tomatoes,2,"American Football, Basketball",Knicks,"Snails, Aligator","Yes, most of them","No, but I'm totally doing that now",Reese PB Cup,0,0,0,,0,,,,,,,,,,0,,1,1,,,,0,,,0,,
8493,sushi,What dress?,I'm not sure what things you mean,cat,Vanilla,Right-handed,Not 100% sure,Ice skate,Warmer,7,Tom Cruise,Yes,Android,Cilantro,1,Soccer,,Thousand-year-old eggs,"Yes, most of them",No,Twix,,0,,,,,,,,,,0,,,,,,,,1,,,,,,0,
9054,guacamole,Blue and black,"Yes, occasionally",Penguin,Vanilla,Right-handed,"Yes, and I have",None,Warmer,3,Harrison Ford,Yes,iPhone,"Carbonated drinks, Cilantro, Coffee",3,None,,None,"Yes, most of them",No,Twix,,,,,,,,,,0,,0,,0,,,,,,,,,,,,,
8960,Pears,Blue and black,"Yes, constantly",Giraffe,Chocolate,Right-handed,"Yes, I believe so",None,Warmer,73,George Clooney,Yes,Android,None,2,None,,None,"Yes, one or two","No, but I'm totally doing that now",Reese PB Cup,,,,,,,,,,,,,,,,,,,,,,,,,,,
9879,pizza,White and gold,"Yes, constantly",Dog,Chocolate,Right-handed,A what?,"Ride a horse, Ice skate",Cooler,99,Leonardo,Yes,iPhone,Cilantro,3,American Football,,"Durian, Thousand-year-old eggs",No,No,Chocolate M&Ms,,0,,,0,,,,,,,0,,,,,1,,,,,,,,,0,0
