"","ride_id","rideable_type","started_at","ended_at","start_station_name","start_station_id","end_station_name","end_station_id","start_lat","start_lng","end_lat","end_lng","member_casual"
"460","07698B0C620D71AE","docked_bike","2021-05-04 14:27:02","2021-05-04 14:28:13","W 76 St & Columbus Ave",7281.09,"W 74 St & Columbus Ave",7230.1,40.780183,-73.977285,40.7785669,-73.97754961,"member"
"373","35BC0A2D5E714D56","docked_bike","2021-05-04 14:57:26","2021-05-04 14:59:57","Columbus Ave & W 95 St",7520.07,"W 89 St & Columbus Ave",7432.09,40.791955,-73.968087,40.7882213,-73.97041561,"member"
"247","ADE40F8B045C6E9D","docked_bike","2021-05-04 15:05:25","2021-05-04 15:10:59","Cherry St",5181.04,"Rivington St & Ridge St",5406.02,40.712199,-73.979481,40.71850211,-73.98329859,"member"
"60","13247729446211DB","docked_bike","2021-05-04 15:44:25","2021-05-04 15:45:34","E 47 St & 2 Ave",6498.1,"E 48 St & 3 Ave",6541.03,40.75323,-73.970325,40.7546011026,-73.971878855,"member"
"184","3D906E11A1C8E5CC","docked_bike","2021-05-04 16:43:57","2021-05-04 17:11:31","E 56 St & 3 Ave",6691.11,"Wythe Ave & Metropolitan Ave",5348.02,40.759345,-73.967596,40.716887,-73.963198,"member"
"25","4A812E213B54EC36","docked_bike","2021-05-04 17:46:06","2021-05-04 18:31:46","3 St & 7 Ave",3905.15,"3 St & Prospect Park West",3865.05,40.670383,-73.978396,40.668132,-73.97363831,"member"
"475","D66244E81DC8FB14","docked_bike","2021-05-04 17:58:14","2021-05-04 18:18:23","2 Ave & E 29 St",6122.09,"Forsyth St & Canal St",5270.07,40.741723,-73.978092,40.7158155,-73.99422366,"casual"
"8","267CB7B7163BC97A","docked_bike","2021-05-04 18:00:54","2021-05-04 18:32:18","FDR Drive & E 35 St",6230.04,"Wall St & South St",4953.01,40.744219,-73.971212,40.70437,-74.00637,"casual"
"244","C6A1F89EC3F740B3","docked_bike","2021-05-04 18:08:04","2021-05-04 18:40:15","Atlantic Ave & Furman St",4614.04,"Columbia Heights & Cranberry St",4829.01,40.691651,-73.999978,40.70037867,-73.99548059,"member"
"472","A31196CC41A51107","docked_bike","2021-05-04 18:20:10","2021-05-04 18:24:30","Carmine St & 6 Ave",5763.03,"6 Ave & Broome St",5610.09,40.730385,-74.002149,40.7243083216022,-74.0047303587198,"member"
"479","FEFE1EF364BC8D14","docked_bike","2021-05-04 18:37:48","2021-05-04 18:51:15","Barclay St & Church St",5216.04,"E 5 St & Cooper Sq",5712.12,40.712912,-74.010202,40.72769,-73.990993,"member"
"456","96CC4C2540743218","docked_bike","2021-05-04 19:35:35","2021-05-04 19:39:47","24 Ave & 26 St",7152.1,"37 St & 24 Ave",6981.16,40.774591,-73.918544,40.7701477,-73.9120938,"member"
